Time Stamp(s),Records,DC Voltage (VDC),
2025-11-6 11:37:03.796809,1,5.0002097,
2025-11-6 11:37:04.207552,2,5.00020422,
2025-11-6 11:37:04.619444,3,5.0002093,
2025-11-6 11:37:05.029942,4,5.00020537,
2025-11-6 11:37:05.439585,5,5.0002145,
2025-11-6 11:37:05.851591,6,5.00019538,
2025-11-6 11:37:06.263278,7,5.00019447,
2025-11-6 11:37:06.674278,8,5.00019326,
2025-11-6 11:37:07.084923,9,5.00020884,
2025-11-6 11:37:07.545072,10,5.00021046,
2025-11-6 11:37:07.957610,11,5.00020265,
2025-11-6 11:37:08.369108,12,5.0001988,
2025-11-6 11:37:08.779323,13,5.00019656,
2025-11-6 11:37:09.192902,14,5.00018522,
2025-11-6 11:37:09.605002,15,5.00017801,
2025-11-6 11:37:10.016135,16,5.00017555,
2025-11-6 11:37:10.476342,17,5.000193,
2025-11-6 11:37:10.888010,18,5.00019994,
2025-11-6 11:37:11.298865,19,5.0002123,
2025-11-6 11:37:11.708650,20,5.00019703,
2025-11-6 11:37:12.119196,21,5.00019784,
2025-11-6 11:37:12.531600,22,5.00018398,
2025-11-6 11:37:12.940959,23,5.00019776,
2025-11-6 11:37:13.353142,24,5.00020058,
2025-11-6 11:37:13.764010,25,5.00019612,
2025-11-6 11:37:14.176056,26,5.00020712,
2025-11-6 11:37:14.638045,27,5.00019651,
2025-11-6 11:37:15.049941,28,5.00019298,
2025-11-6 11:37:15.462582,29,5.00018588,
2025-11-6 11:37:15.871928,30,5.00019417,
2025-11-6 11:37:16.283901,31,5.00019575,
2025-11-6 11:37:16.695332,32,5.00019024,
2025-11-6 11:37:17.105945,33,5.00019141,
2025-11-6 11:37:17.566943,34,5.00018322,
2025-11-6 11:37:17.977880,35,5.00017748,
2025-11-6 11:37:18.388451,36,5.00018789,
2025-11-6 11:37:18.799246,37,5.00019642,
2025-11-6 11:37:19.212065,38,5.00019819,
2025-11-6 11:37:19.621510,39,5.00018251,
2025-11-6 11:37:20.034522,40,5.00018452,
2025-11-6 11:37:20.494059,41,5.00019875,
2025-11-6 11:37:20.906590,42,5.00019635,
2025-11-6 11:37:21.318320,43,5.00020196,
2025-11-6 11:37:21.729662,44,5.00018982,
2025-11-6 11:37:22.140395,45,5.00018105,
2025-11-6 11:37:22.550379,46,5.0001938,
2025-11-6 11:37:22.962364,47,5.00019974,
2025-11-6 11:37:23.373646,48,5.00020279,
2025-11-6 11:37:23.784845,49,5.00019552,
2025-11-6 11:37:24.195914,50,5.00018165,
2025-11-6 11:37:24.607123,51,5.00018641,
2025-11-6 11:37:25.017648,52,5.00018172,
2025-11-6 11:37:25.478112,53,5.00019923,
2025-11-6 11:37:25.889937,54,5.00019776,
2025-11-6 11:37:26.301521,55,5.00020007,
2025-11-6 11:37:26.712105,56,5.00019564,
2025-11-6 11:37:27.123726,57,5.00018684,
2025-11-6 11:37:27.535061,58,5.00018285,
2025-11-6 11:37:27.947025,59,5.00018505,
2025-11-6 11:37:28.357592,60,5.00018205,
2025-11-6 11:37:28.816738,61,5.00018829,
2025-11-6 11:37:29.227854,62,5.00017285,
2025-11-6 11:37:29.638004,63,5.0001828,
2025-11-6 11:37:30.048437,64,5.00018946,
2025-11-6 11:37:30.459531,65,5.00019789,
2025-11-6 11:37:30.870273,66,5.00020008,
2025-11-6 11:37:31.281068,67,5.00020187,
2025-11-6 11:37:31.692617,68,5.00019338,
2025-11-6 11:37:32.104717,69,5.00020322,
2025-11-6 11:37:32.516089,70,5.00019574,
2025-11-6 11:37:32.975260,71,5.00019095,
2025-11-6 11:37:33.385524,72,5.00019378,
2025-11-6 11:37:33.796094,73,5.00020289,
2025-11-6 11:37:34.207691,74,5.00019695,
2025-11-6 11:37:34.619469,75,5.00019015,
2025-11-6 11:37:35.030377,76,5.00019004,
2025-11-6 11:37:35.440939,77,5.00018016,
2025-11-6 11:37:35.853371,78,5.00018239,
2025-11-6 11:37:36.263405,79,5.00018114,
2025-11-6 11:37:36.675375,80,5.0001889,
2025-11-6 11:37:37.135349,81,5.00018787,
2025-11-6 11:37:37.547606,82,5.00018503,
2025-11-6 11:37:37.959421,83,5.00019305,
2025-11-6 11:37:38.370543,84,5.00018755,
2025-11-6 11:37:38.781969,85,5.00019676,
2025-11-6 11:37:39.194033,86,5.00019864,
2025-11-6 11:37:39.604127,87,5.00019248,
2025-11-6 11:37:40.014966,88,5.00019378,
2025-11-6 11:37:40.426256,89,5.00019607,
2025-11-6 11:37:40.836656,90,5.00019526,
2025-11-6 11:37:41.246538,91,5.00019243,
2025-11-6 11:37:41.707800,92,5.0001975,
2025-11-6 11:37:42.119763,93,5.00020754,
2025-11-6 11:37:42.531233,94,5.00019956,
2025-11-6 11:37:42.944032,95,5.00018928,
2025-11-6 11:37:43.356960,96,5.00018758,
2025-11-6 11:37:43.767529,97,5.00018791,
2025-11-6 11:37:44.178375,98,5.00018691,
2025-11-6 11:37:44.591460,99,5.00018903,
2025-11-6 11:37:45.002009,100,5.00018969,
